Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
Unit 3 Business|集团|jítuán|n.|group; corporation|这家集团正在扩大海外业务。|zhè jiā jítuán zhèngzài kuòdà hǎiwài yèwù.|This group is expanding its overseas business.
Unit 3 Business|集……于一体|jí ... yú yītǐ|phrase|integrate ... into one|这款应用集支付和购物于一体。|zhè kuǎn yìngyòng jí zhīfù hé gòuwù yú yītǐ.|This app integrates payment and shopping into one.
Unit 3 Business|集中|jízhōng|v./adj.|concentrate; centralized|公司集中资源开发新产品。|gōngsī jízhōng zīyuán kāifā xīn chǎnpǐn.|The company concentrated resources on developing new products.
Unit 3 Business|集装箱|jízhuāngxiāng|n.|container|港口每天处理大量集装箱。|gǎngkǒu měitiān chǔlǐ dàliàng jízhuāngxiāng.|The port handles many containers every day.
Unit 3 Business|脊梁|jǐliáng|n.|backbone|中小企业是经济发展的脊梁。|zhōngxiǎo qǐyè shì jīngjì fāzhǎn de jǐliáng.|Small and medium businesses are the backbone of economic development.
Unit 3 Business|季度|jìdù|n.|quarter|第二季度的利润明显增加。|dì èr jìdù de lìrùn míngxiǎn zēngjiā.|Profit increased noticeably in the second quarter.
Unit 3 Business|记录|jìlù|n./v.|record|系统会自动记录交易数据。|xìtǒng huì zìdòng jìlù jiāoyì shùjù.|The system automatically records transaction data.
Unit 3 Business|监督|jiāndū|v./n.|supervise; supervision|董事会负责监督项目进度。|dǒngshìhuì fùzé jiāndū xiàngmù jìndù.|The board is responsible for supervising project progress.
Unit 3 Business|艰苦|jiānkǔ|adj.|hard; difficult|创业初期条件很艰苦。|chuàngyè chūqī tiáojiàn hěn jiānkǔ.|Conditions are hard in the early stage of starting a business.
Unit 3 Business|简称|jiǎnchēng|n./v.|abbreviation; be abbreviated as|电子商务简称电商。|diànzǐ shāngwù jiǎnchēng diànshāng.|Electronic commerce is abbreviated as e-commerce.
Unit 3 Business|检验|jiǎnyàn|v./n.|inspect; test|市场会检验产品的价值。|shìchǎng huì jiǎnyàn chǎnpǐn de jiàzhí.|The market will test the product's value.
Unit 3 Business|建立|jiànlì|v.|establish|我们要建立长期合作关系。|wǒmen yào jiànlì chángqī hézuò guānxì.|We need to establish a long-term partnership.
Unit 3 Business|建设|jiànshè|v./n.|build; construction|公司加快数字平台建设。|gōngsī jiākuài shùzì píngtái jiànshè.|The company is speeding up construction of its digital platform.
Unit 3 Business|骄人|jiāorén|adj.|impressive|今年的销售业绩十分骄人。|jīnnián de xiāoshòu yèjì shífēn jiāorén.|This year's sales performance is very impressive.
Unit 3 Business|交易额|jiāoyì'é|n.|transaction volume|平台交易额突破了一亿元。|píngtái jiāoyì'é tūpò le yí yì yuán.|The platform's transaction volume exceeded one hundred million yuan.
Unit 3 Business|结构|jiégòu|n.|structure|公司正在调整组织结构。|gōngsī zhèngzài tiáozhěng zǔzhī jiégòu.|The company is adjusting its organizational structure.
Unit 3 Business|截至|jiézhì|prep./v.|up to; by|截至月底，会员数达到十万。|jiézhì yuèdǐ, huìyuán shù dádào shí wàn.|By the end of the month, membership reached one hundred thousand.
Unit 3 Business|届|jiè|m.|session; edition|本届展会吸引了很多企业。|běn jiè zhǎnhuì xīyǐn le hěn duō qǐyè.|This edition of the trade fair attracted many companies.
Unit 3 Business|届时|jièshí|adv.|when the time comes|届时我们会公布详细方案。|jièshí wǒmen huì gōngbù xiángxì fāng'àn.|We will announce the detailed plan when the time comes.
Unit 3 Business|金融|jīnróng|n./adj.|finance; financial|金融服务正在快速数字化。|jīnróng fúwù zhèngzài kuàisù shùzìhuà.|Financial services are rapidly becoming digital.
